time,parent,analyte,matrix,conc,replicate,microMexp
0,Atrazine,Atrazine,microsomes,1.208049891,1,0.712
0,Atrazine,Atrazine,microsomes,1.59580743,2,0.712
0,Atrazine,Atrazine,microsomes,1.362262655,3,0.712
15,Atrazine,Atrazine,microsomes,1.346911275,2,0.712
15,Atrazine,Atrazine,microsomes,1.212444791,3,0.712
30,Atrazine,Atrazine,microsomes,1.13491833,1,0.712
30,Atrazine,Atrazine,microsomes,1.082466929,2,0.712
30,Atrazine,Atrazine,microsomes,1.113889522,3,0.712
60,Atrazine,Atrazine,microsomes,0.918015161,1,0.712
60,Atrazine,Atrazine,microsomes,0.819916078,2,0.712
60,Atrazine,Atrazine,microsomes,0.830401682,3,0.712
90,Atrazine,Atrazine,microsomes,0.60193292,1,0.712
90,Atrazine,Atrazine,microsomes,0.514615471,2,0.712
90,Atrazine,Atrazine,microsomes,0.543046503,3,0.712
0,Atrazine,Atrazine,microsomes,7.925055611,1,10
0,Atrazine,Atrazine,microsomes,8.535004798,2,10
0,Atrazine,Atrazine,microsomes,7.898999742,3,10
15,Atrazine,Atrazine,microsomes,8.712917025,1,10
15,Atrazine,Atrazine,microsomes,8.046755376,2,10
15,Atrazine,Atrazine,microsomes,8.073616112,3,10
30,Atrazine,Atrazine,microsomes,7.2564376,1,10
30,Atrazine,Atrazine,microsomes,7.355158639,2,10
30,Atrazine,Atrazine,microsomes,7.326464072,3,10
60,Atrazine,Atrazine,microsomes,5.106466762,1,10
60,Atrazine,Atrazine,microsomes,6.116856982,2,10
60,Atrazine,Atrazine,microsomes,6.612799065,3,10
60,Atrazine,Atrazine,microsomes,6.416351487,4,10
90,Atrazine,Atrazine,microsomes,7.579706731,1,10
90,Atrazine,Atrazine,microsomes,5.426896279,2,10
90,Atrazine,Atrazine,microsomes,5.468859038,3,10
0,Atrazine,Atrazine,microsomes,3.856504507,1,3.1684
0,Atrazine,Atrazine,microsomes,3.856469097,2,3.1684
0,Atrazine,Atrazine,microsomes,4.000676106,3,3.1684
15,Atrazine,Atrazine,microsomes,3.592664828,1,3.1684
15,Atrazine,Atrazine,microsomes,3.566235426,2,3.1684
15,Atrazine,Atrazine,microsomes,3.407025511,3,3.1684
30,Atrazine,Atrazine,microsomes,3.230387651,1,3.1684
30,Atrazine,Atrazine,microsomes,3.182488109,2,3.1684
30,Atrazine,Atrazine,microsomes,3.039757913,3,3.1684
60,Atrazine,Atrazine,microsomes,2.523246477,1,3.1684
60,Atrazine,Atrazine,microsomes,2.351721019,2,3.1684
60,Atrazine,Atrazine,microsomes,2.405223762,3,3.1684
90,Atrazine,Atrazine,microsomes,1.868645301,1,3.1684
90,Atrazine,Atrazine,microsomes,2.090714793,2,3.1684
90,Atrazine,Atrazine,microsomes,1.793542295,3,3.1684
0,Atrazine,Atrazine,microsomes,32.90836376,2,50
0,Atrazine,Atrazine,microsomes,30.42372369,3,50
15,Atrazine,Atrazine,microsomes,31.55345576,1,50
15,Atrazine,Atrazine,microsomes,32.90354023,2,50
15,Atrazine,Atrazine,microsomes,31.44767354,3,50
30,Atrazine,Atrazine,microsomes,33.73099629,1,50
30,Atrazine,Atrazine,microsomes,32.44019536,2,50
30,Atrazine,Atrazine,microsomes,30.07668957,3,50
60,Atrazine,Atrazine,microsomes,30.88120635,1,50
60,Atrazine,Atrazine,microsomes,30.4651428,2,50
60,Atrazine,Atrazine,microsomes,31.22382922,3,50
90,Atrazine,Atrazine,microsomes,29.55546923,1,50
90,Atrazine,Atrazine,microsomes,28.76418276,2,50
0,Atrazine,Atrazine,microsomes,28.76477533,1,75
0,Atrazine,Atrazine,microsomes,27.39613326,2,75
0,Atrazine,Atrazine,microsomes,35.59524226,3,75
15,Atrazine,Atrazine,microsomes,27.29687233,1,75
15,Atrazine,Atrazine,microsomes,25.64705914,2,75
15,Atrazine,Atrazine,microsomes,28.43580376,3,75
30,Atrazine,Atrazine,microsomes,25.06838562,1,75
30,Atrazine,Atrazine,microsomes,23.04529413,2,75
30,Atrazine,Atrazine,microsomes,27.46845867,3,75
60,Atrazine,Atrazine,microsomes,27.93745262,1,75
60,Atrazine,Atrazine,microsomes,33.92932133,2,75
60,Atrazine,Atrazine,microsomes,27.74838267,3,75
90,Atrazine,Atrazine,microsomes,24.23551708,1,75
90,Atrazine,Atrazine,microsomes,30.62112241,2,75
90,Atrazine,Atrazine,microsomes,14.47936085,3,75
0,Atrazine,Atrazine,microsomes,91.15167676,1,100
0,Atrazine,Atrazine,microsomes,87.7834746,2,100
0,Atrazine,Atrazine,microsomes,88.1043964,3,100
15,Atrazine,Atrazine,microsomes,88.83435547,1,100
15,Atrazine,Atrazine,microsomes,85.08036669,2,100
15,Atrazine,Atrazine,microsomes,83.34355705,3,100
30,Atrazine,Atrazine,microsomes,87.40290074,1,100
30,Atrazine,Atrazine,microsomes,77.14189081,2,100
30,Atrazine,Atrazine,microsomes,81.17033458,3,100
60,Atrazine,Atrazine,microsomes,82.38968511,1,100
60,Atrazine,Atrazine,microsomes,78.82099072,2,100
60,Atrazine,Atrazine,microsomes,74.48074886,3,100
90,Atrazine,Atrazine,microsomes,81.10749001,1,100
90,Atrazine,Atrazine,microsomes,72.11741368,2,100
90,Atrazine,Atrazine,microsomes,74.72567112,3,100
0,Atrazine,Atrazine,microsomes,88.09234635,2,125
0,Atrazine,Atrazine,microsomes,85.70476499,3,125
15,Atrazine,Atrazine,microsomes,107.9737675,1,125
15,Atrazine,Atrazine,microsomes,85.24148342,2,125
15,Atrazine,Atrazine,microsomes,85.54901737,3,125
30,Atrazine,Atrazine,microsomes,158.6507932,1,125
30,Atrazine,Atrazine,microsomes,83.6386001,2,125
30,Atrazine,Atrazine,microsomes,83.07467838,3,125
60,Atrazine,Atrazine,microsomes,170.65218,1,125
60,Atrazine,Atrazine,microsomes,78.21161933,2,125
60,Atrazine,Atrazine,microsomes,84.54185693,3,125
90,Atrazine,Atrazine,microsomes,80.88478508,1,125
90,Atrazine,Atrazine,microsomes,79.00424811,2,125
