time,parent,analyte,matrix,conc,replicate,microMexp
0,atrazine,atrazine,microsomes,1.208049891,1,0.712
0,atrazine,atrazine,microsomes,1.59580743,2,0.712
0,atrazine,atrazine,microsomes,1.362262655,3,0.712
15,atrazine,atrazine,microsomes,0.551435364,1,0.712
15,atrazine,atrazine,microsomes,1.346911275,2,0.712
15,atrazine,atrazine,microsomes,1.212444791,3,0.712
30,atrazine,atrazine,microsomes,1.13491833,1,0.712
30,atrazine,atrazine,microsomes,1.082466929,2,0.712
30,atrazine,atrazine,microsomes,1.113889522,3,0.712
60,atrazine,atrazine,microsomes,0.918015161,1,0.712
60,atrazine,atrazine,microsomes,0.819916078,2,0.712
60,atrazine,atrazine,microsomes,0.830401682,3,0.712
90,atrazine,atrazine,microsomes,0.60193292,1,0.712
90,atrazine,atrazine,microsomes,0.514615471,2,0.712
90,atrazine,atrazine,microsomes,0.543046503,3,0.712
0,atrazine,atrazine,microsomes,8.602230146,1,10
0,atrazine,atrazine,microsomes,8.531210299,2,10
0,atrazine,atrazine,microsomes,8.218650517,3,10
15,atrazine,atrazine,microsomes,8.453642708,1,10
15,atrazine,atrazine,microsomes,7.964608184,2,10
15,atrazine,atrazine,microsomes,7.94451139,3,10
30,atrazine,atrazine,microsomes,7.680602046,1,10
30,atrazine,atrazine,microsomes,7.527336918,2,10
30,atrazine,atrazine,microsomes,7.478498249,3,10
60,atrazine,atrazine,microsomes,5.659397741,1,10
60,atrazine,atrazine,microsomes,6.36413415,2,10
60,atrazine,atrazine,microsomes,6.660240451,3,10
60,atrazine,atrazine,microsomes,6.34249619,4,10
90,atrazine,atrazine,microsomes,5.477249479,2,10
90,atrazine,atrazine,microsomes,5.670032215,3,10
0,atrazine,atrazine,microsomes,3.365067675,1,3.1684
0,atrazine,atrazine,microsomes,3.642810527,2,3.1684
0,atrazine,atrazine,microsomes,3.434256239,3,3.1684
15,atrazine,atrazine,microsomes,3.840288882,1,3.1684
15,atrazine,atrazine,microsomes,3.471244145,2,3.1684
15,atrazine,atrazine,microsomes,4.21892194,3,3.1684
30,atrazine,atrazine,microsomes,3.04149649,1,3.1684
30,atrazine,atrazine,microsomes,3.107056916,2,3.1684
30,atrazine,atrazine,microsomes,2.539792287,3,3.1684
60,atrazine,atrazine,microsomes,2.350740689,1,3.1684
60,atrazine,atrazine,microsomes,2.184285874,2,3.1684
60,atrazine,atrazine,microsomes,1.868856626,3,3.1684
90,atrazine,atrazine,microsomes,1.487945081,1,3.1684
90,atrazine,atrazine,microsomes,1.746448606,2,3.1684
90,atrazine,atrazine,microsomes,1.279189407,3,3.1684
0,atrazine,atrazine,microsomes,32.61853939,1,50
0,atrazine,atrazine,microsomes,28.61877014,2,50
0,atrazine,atrazine,microsomes,24.9941227,3,50
15,atrazine,atrazine,microsomes,30.1352595,1,50
15,atrazine,atrazine,microsomes,28.31360828,2,50
15,atrazine,atrazine,microsomes,26.0438183,3,50
30,atrazine,atrazine,microsomes,30.34766105,1,50
30,atrazine,atrazine,microsomes,27.74701672,2,50
30,atrazine,atrazine,microsomes,25.6412683,3,50
60,atrazine,atrazine,microsomes,28.51624079,1,50
60,atrazine,atrazine,microsomes,26.35221344,2,50
60,atrazine,atrazine,microsomes,24.78295594,3,50
90,atrazine,atrazine,microsomes,26.56519331,1,50
90,atrazine,atrazine,microsomes,24.44743091,2,50
90,atrazine,atrazine,microsomes,24.01565934,3,50
0,atrazine,atrazine,microsomes,31.69355406,1,75
0,atrazine,atrazine,microsomes,32.50417088,2,75
0,atrazine,atrazine,microsomes,39.73678741,3,75
15,atrazine,atrazine,microsomes,29.59548976,1,75
15,atrazine,atrazine,microsomes,36.16487256,2,75
15,atrazine,atrazine,microsomes,37.40302159,3,75
30,atrazine,atrazine,microsomes,27.6465584,1,75
30,atrazine,atrazine,microsomes,28.94210726,2,75
30,atrazine,atrazine,microsomes,34.71955504,3,75
60,atrazine,atrazine,microsomes,31.19094038,1,75
60,atrazine,atrazine,microsomes,35.96712185,2,75
60,atrazine,atrazine,microsomes,33.12001232,3,75
90,atrazine,atrazine,microsomes,31.51869676,1,75
90,atrazine,atrazine,microsomes,32.99095623,2,75
90,atrazine,atrazine,microsomes,22.85692843,3,75
0,atrazine,atrazine,microsomes,76.46874561,1,100
0,atrazine,atrazine,microsomes,67.44424419,2,100
0,atrazine,atrazine,microsomes,60.20571288,3,100
15,atrazine,atrazine,microsomes,73.12305661,1,100
15,atrazine,atrazine,microsomes,62.97208244,2,100
15,atrazine,atrazine,microsomes,58.17491784,3,100
30,atrazine,atrazine,microsomes,70.9357471,1,100
30,atrazine,atrazine,microsomes,60.89975615,2,100
30,atrazine,atrazine,microsomes,54.39425099,3,100
60,atrazine,atrazine,microsomes,67.30936536,1,100
60,atrazine,atrazine,microsomes,56.7524779,2,100
60,atrazine,atrazine,microsomes,50.73568923,3,100
90,atrazine,atrazine,microsomes,64.11432499,1,100
90,atrazine,atrazine,microsomes,53.06960934,2,100
90,atrazine,atrazine,microsomes,51.00465026,3,100
0,atrazine,atrazine,microsomes,88.09234635,2,125
0,atrazine,atrazine,microsomes,85.70476499,3,125
15,atrazine,atrazine,microsomes,107.9737675,1,125
15,atrazine,atrazine,microsomes,85.24148342,2,125
15,atrazine,atrazine,microsomes,85.54901737,3,125
30,atrazine,atrazine,microsomes,158.6507932,1,125
30,atrazine,atrazine,microsomes,83.6386001,2,125
30,atrazine,atrazine,microsomes,83.07467838,3,125
60,atrazine,atrazine,microsomes,170.65218,1,125
60,atrazine,atrazine,microsomes,78.21161933,2,125
60,atrazine,atrazine,microsomes,84.54185693,3,125
90,atrazine,atrazine,microsomes,80.88478508,1,125
90,atrazine,atrazine,microsomes,79.00424811,2,125
90,atrazine,atrazine,microsomes,78.20108166,3,125
0,atrazine,atrazine,microsomes,111.7791798,1,150
0,atrazine,atrazine,microsomes,108.954701,2,150
0,atrazine,atrazine,microsomes,113.7158271,3,150
0,atrazine,atrazine,microsomes,107.5512697,4,150
