time,parent,analyte,matrix,conc,replicate,microMexp,
0,atrazine,atrazine,microsomes,1.208049891,1,0.712,
0,atrazine,atrazine,microsomes,1.59580743,2,0.712,
0,atrazine,atrazine,microsomes,1.362262655,3,0.712,
15,atrazine,atrazine,microsomes,0.551435364,1,0.712,
15,atrazine,atrazine,microsomes,1.346911275,2,0.712,
15,atrazine,atrazine,microsomes,1.212444791,3,0.712,
30,atrazine,atrazine,microsomes,1.13491833,1,0.712,
30,atrazine,atrazine,microsomes,1.082466929,2,0.712,
30,atrazine,atrazine,microsomes,1.113889522,3,0.712,
60,atrazine,atrazine,microsomes,0.918015161,1,0.712,
60,atrazine,atrazine,microsomes,0.819916078,2,0.712,
60,atrazine,atrazine,microsomes,0.830401682,3,0.712,
90,atrazine,atrazine,microsomes,0.60193292,1,0.712,
90,atrazine,atrazine,microsomes,0.514615471,2,0.712,
90,atrazine,atrazine,microsomes,0.543046503,3,0.712,
0,atrazine,atrazine,microsomes,7.925055611,1,10,
0,atrazine,atrazine,microsomes,8.535004798,2,10,
0,atrazine,atrazine,microsomes,7.898999742,3,10,
15,atrazine,atrazine,microsomes,8.712917025,1,10,
15,atrazine,atrazine,microsomes,8.046755376,2,10,
15,atrazine,atrazine,microsomes,8.073616112,3,10,
30,atrazine,atrazine,microsomes,7.2564376,1,10,
30,atrazine,atrazine,microsomes,7.355158639,2,10,
30,atrazine,atrazine,microsomes,7.326464072,3,10,
60,atrazine,atrazine,microsomes,5.106466762,1,10,
60,atrazine,atrazine,microsomes,6.116856982,2,10,
60,atrazine,atrazine,microsomes,6.612799065,3,10,
60,atrazine,atrazine,microsomes,6.416351487,4,10,
90,atrazine,atrazine,microsomes,7.579706731,1,10,
90,atrazine,atrazine,microsomes,5.426896279,2,10,
90,atrazine,atrazine,microsomes,5.468859038,3,10,
0,atrazine,atrazine,microsomes,3.856504507,1,3.1684,
0,atrazine,atrazine,microsomes,3.856469097,2,3.1684,
0,atrazine,atrazine,microsomes,4.000676106,3,3.1684,
15,atrazine,atrazine,microsomes,3.592664828,1,3.1684,
15,atrazine,atrazine,microsomes,3.566235426,2,3.1684,
15,atrazine,atrazine,microsomes,3.407025511,3,3.1684,
30,atrazine,atrazine,microsomes,3.230387651,1,3.1684,
30,atrazine,atrazine,microsomes,3.182488109,2,3.1684,
30,atrazine,atrazine,microsomes,3.039757913,3,3.1684,
60,atrazine,atrazine,microsomes,2.523246477,1,3.1684,
60,atrazine,atrazine,microsomes,2.351721019,2,3.1684,
60,atrazine,atrazine,microsomes,2.405223762,3,3.1684,
90,atrazine,atrazine,microsomes,1.868645301,1,3.1684,
90,atrazine,atrazine,microsomes,2.090714793,2,3.1684,
90,atrazine,atrazine,microsomes,1.793542295,3,3.1684,
0,atrazine,atrazine,microsomes,,1,50,
0,atrazine,atrazine,microsomes,49.36254564,2,50,
0,atrazine,atrazine,microsomes,45.63558554,3,50,
15,atrazine,atrazine,microsomes,47.33018364,1,50,
15,atrazine,atrazine,microsomes,49.35531035,2,50,
15,atrazine,atrazine,microsomes,47.17151031,3,50,
30,atrazine,atrazine,microsomes,50.59649443,1,50,
30,atrazine,atrazine,microsomes,48.66029303,2,50,
30,atrazine,atrazine,microsomes,45.11503435,3,50,
60,atrazine,atrazine,microsomes,46.32180953,1,50,
60,atrazine,atrazine,microsomes,45.6977142,2,50,
60,atrazine,atrazine,microsomes,46.83574383,3,50,
90,atrazine,atrazine,microsomes,44.33320385,1,50,
90,atrazine,atrazine,microsomes,43.14627414,2,50,
90,atrazine,atrazine,microsomes,,3,50,
0,atrazine,atrazine,microsomes,57.52955067,1,75,
0,atrazine,atrazine,microsomes,54.79226651,2,75,
0,atrazine,atrazine,microsomes,71.19048451,3,75,
15,atrazine,atrazine,microsomes,54.59374466,1,75,
15,atrazine,atrazine,microsomes,51.29411827,2,75,
15,atrazine,atrazine,microsomes,56.87160752,3,75,
30,atrazine,atrazine,microsomes,50.13677124,1,75,
30,atrazine,atrazine,microsomes,46.09058826,2,75,
30,atrazine,atrazine,microsomes,54.93691733,3,75,
60,atrazine,atrazine,microsomes,55.87490523,1,75,
60,atrazine,atrazine,microsomes,67.85864267,2,75,
60,atrazine,atrazine,microsomes,55.49676533,3,75,
90,atrazine,atrazine,microsomes,48.47103415,1,75,
90,atrazine,atrazine,microsomes,61.24224482,2,75,
90,atrazine,atrazine,microsomes,28.95872171,3,75,
0,atrazine,atrazine,microsomes,91.15167676,1,100,
0,atrazine,atrazine,microsomes,87.7834746,2,100,
0,atrazine,atrazine,microsomes,88.1043964,3,100,
15,atrazine,atrazine,microsomes,88.83435547,1,100,
15,atrazine,atrazine,microsomes,85.08036669,2,100,
15,atrazine,atrazine,microsomes,83.34355705,3,100,
30,atrazine,atrazine,microsomes,87.40290074,1,100,
30,atrazine,atrazine,microsomes,77.14189081,2,100,
30,atrazine,atrazine,microsomes,81.17033458,3,100,
60,atrazine,atrazine,microsomes,82.38968511,1,100,
60,atrazine,atrazine,microsomes,78.82099072,2,100,
60,atrazine,atrazine,microsomes,74.48074886,3,100,
90,atrazine,atrazine,microsomes,81.10749001,1,100,
90,atrazine,atrazine,microsomes,72.11741368,2,100,
90,atrazine,atrazine,microsomes,74.72567112,3,100,
0,atrazine,atrazine,microsomes,697.481501,1,125,
0,atrazine,atrazine,microsomes,132.1385195,2,125,
0,atrazine,atrazine,microsomes,128.5571475,3,125,
15,atrazine,atrazine,microsomes,161.9606512,1,125,
15,atrazine,atrazine,microsomes,127.8622251,2,125,
15,atrazine,atrazine,microsomes,128.323526,3,125,
30,atrazine,atrazine,microsomes,237.9761898,1,125,
30,atrazine,atrazine,microsomes,125.4579002,2,125,
30,atrazine,atrazine,microsomes,124.6120176,3,125,
60,atrazine,atrazine,microsomes,255.97827,1,125,
60,atrazine,atrazine,microsomes,117.317429,2,125,
60,atrazine,atrazine,microsomes,126.8127854,3,125,
90,atrazine,atrazine,microsomes,121.3271776,1,125,
90,atrazine,atrazine,microsomes,118.5063722,2,125,
90,atrazine,atrazine,microsomes,117.3016225,3,125,
0,atrazine,atrazine,microsomes,167.6687697,1,150,
0,atrazine,atrazine,microsomes,163.4320516,2,150,
0,atrazine,atrazine,microsomes,170.5737407,3,150,
